feature_set,xi,tau,n_clusters,n_noise,coverage,runtime_sec,silhouette,davies_bouldin,calinski_harabasz,quality_score
recency|frequency|monetary|return_rate|weekend_ratio,10,0.12,23,139,0.955,0.05,-0.069,4.3854,164.8,-0.7560819999999999
recency|frequency|monetary|return_rate|weekend_ratio,10,0.14,18,302,0.903,0.02,0.0488,4.0967,222.8,-0.503186
recency|frequency|monetary|return_rate|weekend_ratio,10,0.16,11,329,0.894,0.04,0.0755,1.8195,325.9,-0.12156
recency|frequency|monetary|return_rate|weekend_ratio,10,0.18,9,436,0.859,0.02,0.1302,1.7729,413.1,-0.04688199999999998
recency|frequency|monetary|return_rate|weekend_ratio,10,0.2,8,464,0.85,0.01,0.1407,1.7519,463.5,-0.03695200000000001
recency|frequency|monetary|return_rate|weekend_ratio,12,0.06,32,10,0.997,0.59,-0.1581,2.9118,127.1,-0.9417940000000001
recency|frequency|monetary|return_rate|weekend_ratio,12,0.08,27,35,0.989,0.12,-0.1179,2.3285,136.2,-0.7319300000000001
recency|frequency|monetary|return_rate|weekend_ratio,12,0.1,17,168,0.946,0.05,-0.028,2.3951,219.0,-0.408108
recency|frequency|monetary|return_rate|weekend_ratio,12,0.12,12,306,0.901,0.02,0.0092,2.5636,229.6,-0.27063800000000005
recency|frequency|monetary|return_rate|weekend_ratio,12,0.14,10,369,0.881,0.04,0.0056,2.3674,252.3,-0.213542
recency|frequency|monetary|return_rate|weekend_ratio,12,0.16,9,461,0.851,0.02,0.0732,2.3975,340.2,-0.15585
recency|frequency|monetary|return_rate|weekend_ratio,12,0.18,8,540,0.826,0.01,0.0885,1.7269,381.7,-0.09315200000000004
recency|frequency|monetary|return_rate|weekend_ratio,12,0.2,7,540,0.826,0.04,0.1819,1.6781,402.7,0.004151999999999989
recency|frequency|monetary|return_rate|weekend_ratio,14,0.06,27,18,0.994,0.13,-0.0896,2.0989,162.0,-0.6840120000000001
recency|frequency|monetary|return_rate|weekend_ratio,14,0.08,15,151,0.951,0.03,-0.006,2.6371,221.5,-0.35421800000000003
recency|frequency|monetary|return_rate|weekend_ratio,14,0.1,12,362,0.883,0.03,0.0594,2.2411,293.7,-0.199138
recency|frequency|monetary|return_rate|weekend_ratio,14,0.12,8,424,0.863,0.03,0.1157,1.7753,441.1,-0.06057400000000002
recency|frequency|monetary|return_rate|weekend_ratio,14,0.14,8,518,0.833,0.03,0.1176,1.7966,437.5,-0.06787800000000001
recency|frequency|monetary|return_rate|weekend_ratio,14,0.16,7,674,0.783,0.02,0.0959,1.5382,427.2,-0.08140599999999999
recency|frequency|monetary|return_rate|weekend_ratio,14,0.18,7,674,0.783,0.01,0.0959,1.5382,427.2,-0.08140599999999999
recency|frequency|monetary|return_rate|weekend_ratio,14,0.2,6,674,0.783,0.02,0.1974,1.4342,462.9,0.02841400000000001
recency|frequency|monetary|return_rate|weekend_ratio,16,0.06,23,62,0.98,0.11,-0.0542,2.2895,160.2,-0.56736
recency|frequency|monetary|return_rate|weekend_ratio,16,0.08,17,249,0.92,0.11,-0.0527,2.6393,177.1,-0.45884400000000003
recency|frequency|monetary|return_rate|weekend_ratio,16,0.1,12,431,0.861,0.02,0.0479,2.1765,286.4,-0.21097
recency|frequency|monetary|return_rate|weekend_ratio,16,0.12,9,513,0.835,0.02,0.1007,1.805,394.9,-0.08495000000000001
recency|frequency|monetary|return_rate|weekend_ratio,16,0.14,7,653,0.789,0.02,0.1268,1.5872,496.9,-0.052926
recency|frequency|monetary|return_rate|weekend_ratio,16,0.16,7,707,0.772,0.0,0.096,1.5451,426.0,-0.08460799999999999
recency|frequency|monetary|return_rate|weekend_ratio,16,0.18,7,707,0.772,0.0,0.096,1.5451,426.0,-0.08460799999999999
recency|frequency|monetary|return_rate|weekend_ratio,16,0.2,6,707,0.772,0.0,0.1982,1.4387,462.5,0.02610399999999999
